Book_Title,Author,Average Rating,Total Rating,Total Score,People Voted
"Fifth Grave Past the Light (Charley Davidson, #5)",Darynda Jones,4.43,35510,"1,585",16
Timbi's Dream,Max Nowaz,4.36,603,"1,584",18
Feeling Lucky,M.S.M. Barkawitz,4.29,3170,"1,579",18
The Stranger,Albert Camus,4.01,944055,"1,574",19
Tooth for Tooth (Talion #2),J.K. Franko,4.32,3414,"1,570",17
The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,3.86,27258,"1,570",16
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.85,27463,"1,567",18
Portrait of Our Marriage,Martha Emms,3.88,225,"1,565",16
Before I Fall,Lauren Oliver,3.89,328689,"1,558",20
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1495846,"1,556",18
Requiem for a Dream,Hubert Selby Jr.,4.1,58205,"1,552",17
The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,3.85,8585,"1,552",16
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,4.04,528911,"1,551",19
Under the Dome,Stephen King,3.91,286179,"1,549",18
"Missing Wings (Aranysargas, #1)",Andrea Luhman,4.29,2306,"1,547",17
Sharp Objects,Gillian Flynn,4.01,915790,"1,545",19
"Eat, Pray, Love",Elizabeth Gilbert,3.61,1670739,"1,542",19
The Historian,Elizabeth Kostova,3.79,258397,"1,541",18
Time Chain,Steven Decker,4.17,1231,"1,533",18
The Beach Trees,Karen   White,4.04,13997,"1,532",16
The Violets of March,Sarah Jio,3.83,25300,"1,532",17
Jane Eyre,Charlotte Brontë,4.14,1959551,"1,519",21
The Lacuna,Barbara Kingsolver,3.8,66556,"1,518",18
Little Women,Louisa May Alcott,4.14,2066316,"1,516",19
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.05,256668,"1,502",21
"Crossroads and the Dominion of Four (Crossroads, #2)",C. Toni Graham,4.26,2756,"1,500",17
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,4.3,271738,"1,498",18
In Cold Blood,Truman Capote,4.08,617871,"1,487",18
Life of Pi,Yann Martel,3.93,1542727,"1,483",18
Dueling Fates (Immar & Stauros trilogy #1),Stephanie M. Allen,4.31,1342,"1,469",16
"13 Little Blue Envelopes (Little Blue Envelope, #1)",Maureen Johnson,3.63,81862,"1,463",17
A Prayer for Owen Meany,John Irving,4.24,309875,"1,462",18
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,486470,"1,455",17
